Location,Startup, Lat, Ln
"Bitsch, Biel",1969.0,,
Samnaun-Compatsch,1970.0,46.96028,10.40523
Bannwil,1970.0,47.2402164,7.7374782999999985
Riedholz,1970.0,47.2301841,7.565355399999999
Balavaud / Ardon,1971.0,46.217467,7.2622800000000005
Heiligkreuz,1971.0,46.9461658,8.0561115
"Veytaux, Chillon",1972.0,,
Tenero,1972.0,46.180463200000005,8.8490614
Lessoc,1973.0,46.499998,7.0666579999999986
Waltensburg,1973.0,46.77672130000001,9.117075400000001
"Grimsel, Sommerloch, u.Hospiz",1974.0,,
Bremgarten,1975.0,47.34917739999999,8.3397905
Bremgarten,1998.0,47.34917739999999,8.3397905
Fieschertal,1975.0,46.4245787,8.143049000000001
Rossens,1976.0,46.7205552,7.1041753
Rossens,2005.0,46.7205552,7.1041753
Steg-Hohtenn,1976.0,46.313943200000004,7.751228800000002
Vadura,1977.0,46.9574335,9.484879800000002
"Hérémence, Sauterot",1977.0,,
Bad Ragaz,1978.0,47.0034141,9.5011062
Vallorcine,1978.0,46.033505,6.931817
Martigny,1978.0,46.104979799999995,7.0755333999999985
"Salvan, Alpage de Barberine",1978.0,,
Rueras,1979.0,46.67497720000001,8.7502117
"Grimsel, Chessituren",1981.0,,
Martigny-Combe,1981.0,46.083195,7.0487069
Collonges,1981.0,46.169781,7.033227
Vilters,1982.0,47.029998799999994,9.4484028
Jaun,1982.0,46.6103237,7.2861429000000015
"Buchs, Waldrand",1987.0,,
St.Sulpice,1988.0,46.51011399999999,6.558195100000002
"Aigle, En la Douve",1989.0,,
"Weinfelden, untere Widen",1989.0,,
Ilanz,1990.0,46.77421,9.20474
Ilanz,1992.0,46.77421,9.20474
Sufers,1990.0,46.5705798,9.366444300000001
Ried-Brig,1990.0,46.31726,8.01774
Ried-Brig,1995.0,46.31726,8.01774
Ried-Brig,2013.0,46.31726,8.01774
Ried-Brig,2016.0,46.31726,8.01774
Plancanin,1991.0,46.818188,8.227511999999999
Motti della Bolla,1991.0,46.818188,8.227511999999999
Müstair/Chasseras,1991.0,,
Täsch,1992.0,,
Samedan,1992.0,46.5339944,9.872933900000001
"Le Châble, Bagnes",1993.0,,
"Murgtal, Unter Plätz",1994.0,,
Baltschieder,1994.0,46.308,7.863670000000001
Genève,1994.0,,
Strada,1994.0,46.863281,10.4365953
Martina,1994.0,46.883333,10.466667
Neftenbach,1994.0,47.526653700000004,8.6688227
Elm,1995.0,46.91979569999999,9.1723405
Brügg,1995.0,,
Oberwynau,1996.0,47.254568,7.7897914
Adelboden,1996.0,46.4930889,7.559512299999999
Unterseen,1996.0,46.6852116,7.848157400000002
"Château d'Oex, Gérignoz",1996.0,,
Dornach,1996.0,47.479049100000005,7.6170412
"St. Martin, Lunschania",1996.0,,
"Kandersteg, Dorf",1996.0,,
"Les Farettes, Aigle",1997.0,,
Jenins,1997.0,47.00050039999999,9.5577461
Wilderswil,1998.0,46.6652174,7.868918300000001
Pas-du Lein,1998.0,46.1107393,7.1592807
"Evionnaz, La Rasse",1998.0,,
Guarda-Giarsun Gmd. Scuol,1998.0,46.769890000000004,10.14391
Engehalde,1998.0,46.9566886,7.4397875
Münchenstein,1998.0,,
Luzern,1998.0,47.05016819999999,8.3093072
"Wassen, Pfaffensprung",1998.0,,
Saxeten,1999.0,46.63639570000001,7.8311603000000005
Kriens/Obernau,1999.0,47.030840000000005,8.2515
Rüderswil,1999.0,,
Grandvillard,1999.0,46.54092800000001,7.086142799999998
Boningen,2000.0,47.306647,7.8563887999999995
Tscherggen,2000.0,46.783333,9.664444
Dalpe,2000.0,46.4773556,8.7728337
Savièse,2001.0,,
Savièse,2004.0,,
Savièse,2015.0,,
Altdorf,2002.0,46.882127200000006,8.642843599999999
Campo Vallemaggia,2002.0,46.2887844,8.495915199999999
Schönenberg an der Thur,2002.0,,
Lungern,2003.0,46.785818799999994,8.159704
"Cerentino, Collinasca",2004.0,,
Isérables,2005.0,,
"La Frassenaye, Val d'Jlliez",2005.0,,
"Sachseln, Obflue",2005.0,,
Sonceboz,2005.0,47.1957402,7.1786493999999985
Raron,2007.0,46.309006700000005,7.800160000000001
"Dardin, Casut",2008.0,,
Niedergesteln,2008.0,46.313723700000004,7.781042599999998
Lavigny,2008.0,46.5012496,6.404400799999999
" Prato Leventina, P. di Masc.",2008.0,,
"Engi, Vorderdorf (Glarus Süd)",2009.0,,
Vollèges,2009.0,,
"Saint-Gingolph, Vignolles",2009.0,,
Nufenen,2009.0,46.5394932,9.2433569
Leibstadt,2009.0,47.5899397,8.173178
"Niedergesteln, Turtig",2009.0,,
"Kandersteg, Eggeschwand",2009.0,,
"Törbel, Gappil",2010.0,,
Arbaz,2010.0,46.2717615,7.3810394000000015
"Mesocco, Camou",2010.0,,
"San Carlo, Pedecosta",2010.0,,
Tarasp,2010.0,46.7758856,10.2584949
Susch,2010.0,46.7507975,10.0796664
Wiler (Lötschen),2010.0,,
Schattenhalb,2010.0,46.7185473,8.1911357
Schattenhalb,2017.0,46.7185473,8.1911357
Riom - Parsonz,2011.0,46.5974706,9.5731025
"Ennenda, Alpenbrüggli",2011.0,,
Seewis,2011.0,46.9905027,9.6372642
Malters,2011.0,47.0369701,8.183899199999999
"Frauenfeld, Schlossmühlestr.",2012.0,,
"Charmey, La Tzintre",2012.0,,
Hérémence,2012.0,,
Fiesch,2012.0,46.4014491,8.1333135
